step,train_loss,lr,test_exact_match
250,1.0559469014406204,0.0002995753372081722,0.0
500,0.17471925130486488,0.00029696463392633697,0.006666666666666667
750,0.07814251148700714,0.00029201890380882044,0.5733333333333334
1000,0.06211779087781906,0.0002848256582759391,0.8066666666666666
1250,0.05795062886178493,0.0002755121770454111,0.69
1500,0.056248042687773704,0.00026424325600201147,0.9866666666666667
1750,0.05561048097908497,0.0002512182912434871,0.9533333333333334
2000,0.05469926495850086,0.000236667750898609,0.9866666666666667
2250,0.05438608817756176,0.00022084909714620545,0.9433333333333334
2500,0.054580785036087036,0.00020404223059234975,0.84
2750,0.05400615687668323,0.0001865445376144319,0.9866666666666667
3000,0.053893475592136385,0.0001686656283060833,0.99
3250,0.05378852504491806,0.00015072185813153386,0.9933333333333333
3500,0.053761489614844324,0.00013303073022510257,0.9933333333333333
